CSV CAN data
Converted from Kvaser Memorator at,2023-10-14 13:05:08
                                                        
Format of data field,HEX
Format of id field,DEC
Timestamp Offset,             0.00000,seconds
Logging started at,2023-07-11 18:02:45
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.23350,2,128,2,0,,,,,,,,,1,2023-07-11 18:02:45
0.23356,1,1538,2,8,25,01,10,00,00,00,00,00,2,2023-07-11 18:02:45
0.23361,1,128,2,0,,,,,,,,,3,2023-07-11 18:02:45
0.23363,2,32,2,8,01,01,20,00,00,00,1f,1e,4,2023-07-11 18:02:45
0.23373,2,1682,2,6,00,9e,0a,96,0d,75,,,5,2023-07-11 18:02:45
0.23373,1,32,2,8,01,01,20,00,00,00,1f,1e,6,2023-07-11 18:02:45
0.23381,2,1711,2,4,00,00,00,00,,,,,7,2023-07-11 18:02:45
0.23385,1,1537,2,8,25,01,10,00,00,00,15,01,8,2023-07-11 18:02:45
0.23393,2,1713,2,7,00,00,00,00,00,00,00,,9,2023-07-11 18:02:45
0.23395,1,1664,2,6,a6,2f,01,a8,00,a1,,,10,2023-07-11 18:02:45
0.23406,1,1684,2,6,01,83,00,00,00,00,,,11,2023-07-11 18:02:45
0.23415,1,1712,2,4,00,00,00,00,,,,,12,2023-07-11 18:02:45
0.23423,1,1714,2,4,00,00,00,00,,,,,13,2023-07-11 18:02:45
0.23445,2,1538,2,5,23,02,03,33,33,,,,14,2023-07-11 18:02:45
0.23581,1,1313,2,6,00,04,00,00,00,00,,,15,2023-07-11 18:02:45
0.23593,1,1314,2,6,01,0c,00,00,88,b8,,,16,2023-07-11 18:02:45
0.23605,1,1315,2,6,02,0c,00,00,00,00,,,17,2023-07-11 18:02:45
0.23617,1,1316,2,6,03,0c,ff,ff,ff,fb,,,18,2023-07-11 18:02:45
0.23849,2,1990,2,8,00,00,ff,ff,00,00,00,00,19,2023-07-11 18:02:45
0.23858,1,257,2,8,00,00,00,00,00,00,00,00,20,2023-07-11 18:02:45
0.23862,2,1991,2,8,00,00,00,00,00,00,00,00,21,2023-07-11 18:02:45
0.23874,2,257,2,8,00,00,00,00,00,00,00,00,22,2023-07-11 18:02:45
0.23887,2,1994,2,8,00,00,00,00,00,00,00,00,23,2023-07-11 18:02:45
0.23899,2,1995,2,8,00,00,00,00,00,00,00,00,24,2023-07-11 18:02:45
0.23912,2,1996,2,8,00,00,00,00,00,00,00,00,25,2023-07-11 18:02:45
0.23925,2,1997,2,8,00,00,00,00,00,00,00,00,26,2023-07-11 18:02:45
0.23937,2,257,2,8,00,00,00,00,00,00,00,00,27,2023-07-11 18:02:45
0.25350,2,128,2,0,,,,,,,,,28,2023-07-11 18:02:45
0.25356,1,1538,2,8,25,01,10,00,00,00,00,00,29,2023-07-11 18:02:45
0.25361,1,128,2,0,,,,,,,,,30,2023-07-11 18:02:45
0.25363,2,32,2,8,01,01,20,00,00,00,1f,1e,31,2023-07-11 18:02:45
0.25371,2,1711,2,4,00,00,00,00,,,,,32,2023-07-11 18:02:45
0.25373,1,32,2,8,01,01,20,00,00,00,1f,1e,33,2023-07-11 18:02:45
0.25381,2,1682,2,6,00,9e,0a,96,0d,75,,,34,2023-07-11 18:02:45
0.25385,1,1537,2,8,25,01,10,00,00,00,16,01,35,2023-07-11 18:02:45
0.25393,2,1713,2,7,00,00,00,00,00,00,00,,36,2023-07-11 18:02:45
0.25395,1,1664,2,6,a6,2f,01,a8,00,a2,,,37,2023-07-11 18:02:45
0.25406,1,1684,2,6,01,83,00,00,00,00,,,38,2023-07-11 18:02:45
0.25415,1,1712,2,4,00,00,00,00,,,,,39,2023-07-11 18:02:45
0.25423,1,1714,2,4,00,00,00,00,,,,,40,2023-07-11 18:02:45
0.25445,2,1538,2,5,23,02,03,33,33,,,,41,2023-07-11 18:02:45
0.25544,1,1313,2,6,00,05,ff,ff,ff,fc,,,42,2023-07-11 18:02:45
0.25849,2,1990,2,8,00,00,ff,ff,00,00,00,00,43,2023-07-11 18:02:45
0.25858,1,257,2,8,00,00,00,00,00,00,00,00,44,2023-07-11 18:02:45
0.25862,2,1991,2,8,00,00,00,00,00,00,00,00,45,2023-07-11 18:02:45
0.25874,2,1993,2,8,00,00,00,00,00,00,00,00,46,2023-07-11 18:02:45
0.25887,2,1994,2,8,00,00,00,00,00,00,00,00,47,2023-07-11 18:02:45
0.25899,2,1995,2,8,89,37,00,00,00,00,00,00,48,2023-07-11 18:02:45
0.25912,2,1996,2,8,00,00,00,00,00,00,00,00,49,2023-07-11 18:02:45
0.25924,2,1997,2,8,00,00,00,00,00,00,00,00,50,2023-07-11 18:02:45
0.25937,2,257,2,8,00,00,00,00,00,00,00,00,51,2023-07-11 18:02:45
0.27350,2,128,2,0,,,,,,,,,52,2023-07-11 18:02:45
0.27356,1,1538,2,8,25,01,10,00,00,00,00,00,53,2023-07-11 18:02:45
0.27361,1,128,2,0,,,,,,,,,54,2023-07-11 18:02:45
0.27363,2,32,2,8,01,01,20,00,00,00,1f,1e,55,2023-07-11 18:02:45
0.27371,2,1711,2,4,00,00,00,00,,,,,56,2023-07-11 18:02:45
0.27373,1,32,2,8,01,01,20,00,00,00,1f,1e,57,2023-07-11 18:02:45
0.27381,2,1682,2,6,00,9e,0a,96,0d,75,,,58,2023-07-11 18:02:45
0.27385,1,1537,2,8,25,01,10,00,00,00,17,01,59,2023-07-11 18:02:45
0.27393,2,1713,2,7,00,00,00,00,00,00,00,,60,2023-07-11 18:02:45
0.27395,1,1664,2,6,a6,2f,01,a8,00,a1,,,61,2023-07-11 18:02:45
0.27406,1,1684,2,6,01,83,00,00,00,00,,,62,2023-07-11 18:02:45
0.27415,1,1712,2,4,00,00,00,00,,,,,63,2023-07-11 18:02:45
0.27423,1,1714,2,4,00,00,00,00,,,,,64,2023-07-11 18:02:45
0.27446,2,1538,2,5,23,02,03,33,33,,,,65,2023-07-11 18:02:45
0.27557,1,1313,2,6,00,06,00,00,00,00,,,66,2023-07-11 18:02:45
0.27849,2,1990,2,8,00,00,ff,ff,00,00,00,00,67,2023-07-11 18:02:45
0.27858,1,257,2,8,00,00,00,00,00,00,00,00,68,2023-07-11 18:02:45
0.27862,2,1991,2,8,00,00,00,00,00,00,00,00,69,2023-07-11 18:02:45
0.27874,2,1993,2,8,00,00,00,00,00,00,00,00,70,2023-07-11 18:02:45
0.27887,2,1994,2,8,00,00,00,00,00,00,00,00,71,2023-07-11 18:02:45
0.27900,2,1995,2,8,00,00,00,00,00,00,00,00,72,2023-07-11 18:02:45
0.27912,2,1996,2,8,00,00,00,00,00,00,00,00,73,2023-07-11 18:02:45
0.27925,2,1997,2,8,00,00,00,00,00,00,00,00,74,2023-07-11 18:02:45
0.27937,2,257,2,8,00,00,00,00,00,00,00,00,75,2023-07-11 18:02:45
0.29351,2,128,2,0,,,,,,,,,76,2023-07-11 18:02:45
0.29356,1,1538,2,8,25,01,10,00,00,00,00,00,77,2023-07-11 18:02:45
0.29361,1,128,2,0,,,,,,,,,78,2023-07-11 18:02:45
